hand 0: type: HIGHCARD, hand: KQJ53, bid: 367
hand 471: type: TWOPAIR, hand: J77J9, bid: 448
hand 472: type: TWOPAIR, hand: 22884, bid: 316
hand 473: type: TWOPAIR, hand: 6ATTA, bid: 279
hand 474: type: TWOPAIR, hand: 33KAK, bid: 645
hand 475: type: TWOPAIR, hand: 8Q8QK, bid: 878
hand 476: type: TWOPAIR, hand: AQA33, bid: 44
hand 477: type: TWOPAIR, hand: TT4J4, bid: 198
hand 478: type: TWOPAIR, hand: QT4QT, bid: 586
hand 479: type: TWOPAIR, hand: Q2QJ2, bid: 796
hand 480: type: TWOPAIR, hand: 25T52, bid: 450
hand 481: type: TWOPAIR, hand: A7A72, bid: 714
hand 482: type: TWOPAIR, hand: 93366, bid: 326
hand 483: type: TWOPAIR, hand: 899J8, bid: 467
hand 484: type: TWOPAIR, hand: 3232T, bid: 912
hand 485: type: TWOPAIR, hand: AA88Q, bid: 338
hand 486: type: TWOPAIR, hand: KJ3K3, bid: 977
hand 487: type: TWOPAIR, hand: 4KK4J, bid: 96
hand 488: type: TWOPAIR, hand: 75275, bid: 304
hand 489: type: TWOPAIR, hand: 997J7, bid: 727
hand 490: type: TWOPAIR, hand: AAKJK, bid: 597
hand 491: type: TWOPAIR, hand: K63K6, bid: 397
hand 492: type: TWOPAIR, hand: 2AQ2A, bid: 628
hand 493: type: TWOPAIR, hand: JK8K8, bid: 527
hand 494: type: TWOPAIR, hand: 92629, bid: 893
hand 495: type: TWOPAIR, hand: 3A39A, bid: 587
hand 496: type: TWOPAIR, hand: 5588J, bid: 632
hand 497: type: TWOPAIR, hand: 6QQ62, bid: 656
hand 498: type: TWOPAIR, hand: 2TT77, bid: 464
hand 499: type: TWOPAIR, hand: 94469, bid: 859
hand 500: type: TWOPAIR, hand: QT3QT, bid: 622
hand 501: type: TWOPAIR, hand: 6J86J, bid: 472
hand 502: type: TWOPAIR, hand: 82J28, bid: 710
hand 503: type: TWOPAIR, hand: 79947, bid: 869
hand 504: type: TWOPAIR, hand: 23277, bid: 733
hand 505: type: TWOPAIR, hand: 26269, bid: 902
hand 506: type: TWOPAIR, hand: TTQ77, bid: 256
hand 507: type: TWOPAIR, hand: T232T, bid: 53
hand 508: type: TWOPAIR, hand: J2442, bid: 575
hand 509: type: TWOPAIR, hand: 5KJK5, bid: 226
hand 510: type: TWOPAIR, hand: 4Q43Q, bid: 48
hand 511: type: TWOPAIR, hand: J5353, bid: 836
hand 512: type: TWOPAIR, hand: QQ668, bid: 841
hand 513: type: TWOPAIR, hand: KTK6T, bid: 760
hand 514: type: TWOPAIR, hand: KK393, bid: 190
hand 515: type: TWOPAIR, hand: AAJ55, bid: 2
hand 516: type: TWOPAIR, hand: Q2626, bid: 554
hand 517: type: TWOPAIR, hand: 69963, bid: 86
hand 518: type: TWOPAIR, hand: AAKK9, bid: 481
hand 519: type: TWOPAIR, hand: A2A26, bid: 315
hand 520: type: TWOPAIR, hand: 9J9TT, bid: 729
hand 521: type: TWOPAIR, hand: 3434K, bid: 216
hand 522: type: TWOPAIR, hand: 955QQ, bid: 206
hand 523: type: TWOPAIR, hand: TQ2TQ, bid: 960
hand 524: type: TWOPAIR, hand: 55779, bid: 302
hand 525: type: TWOPAIR, hand: 66QJQ, bid: 547
hand 526: type: TWOPAIR, hand: 22AA9, bid: 959
hand 527: type: TWOPAIR, hand: J4455, bid: 850
hand 528: type: TWOPAIR, hand: QQJ88, bid: 257
hand 529: type: TWOPAIR, hand: 29Q92, bid: 788
hand 530: type: TWOPAIR, hand: 84A84, bid: 946
hand 531: type: TWOPAIR, hand: J77J2, bid: 686
hand 532: type: TWOPAIR, hand: 3AJA3, bid: 687
hand 533: type: TWOPAIR, hand: 52665, bid: 798
hand 534: type: TWOPAIR, hand: 66TT7, bid: 634
hand 535: type: TWOPAIR, hand: 22779, bid: 913
hand 536: type: TWOPAIR, hand: 33799, bid: 71
hand 537: type: TWOPAIR, hand: 65568, bid: 238
hand 538: type: TWOPAIR, hand: 464Q6, bid: 268
hand 539: type: TWOPAIR, hand: 885KK, bid: 115
hand 540: type: TWOPAIR, hand: K44K9, bid: 18
hand 541: type: TWOPAIR, hand: 95395, bid: 891
hand 542: type: TWOPAIR, hand: 49898, bid: 746
hand 543: type: TWOPAIR, hand: J89J8, bid: 451
hand 544: type: TWOPAIR, hand: QJTQJ, bid: 446
hand 545: type: TWOPAIR, hand: 9K97K, bid: 605
hand 546: type: TWOPAIR, hand: 393J9, bid: 74
hand 547: type: TWOPAIR, hand: Q255Q, bid: 259
hand 548: type: TWOPAIR, hand: 9AT9T, bid: 392
hand 549: type: TWOPAIR, hand: QQ277, bid: 739
hand 550: type: TWOPAIR, hand: 82827, bid: 139
hand 551: type: TWOPAIR, hand: 6QK6Q, bid: 284
hand 552: type: TWOPAIR, hand: Q66TQ, bid: 37
hand 553: type: TWOPAIR, hand: 54KK5, bid: 621
hand 554: type: TWOPAIR, hand: 68J68, bid: 151
hand 555: type: TWOPAIR, hand: T6T6J, bid: 465
hand 556: type: TWOPAIR, hand: 8778Q, bid: 244
hand 557: type: TWOPAIR, hand: 6644K, bid: 485
hand 558: type: TWOPAIR, hand: Q77AA, bid: 995
hand 559: type: TWOPAIR, hand: 83T38, bid: 987
hand 560: type: TWOPAIR, hand: 8585Q, bid: 916
hand 561: type: TWOPAIR, hand: KAK3A, bid: 273
hand 562: type: TWOPAIR, hand: J6655, bid: 399
hand 563: type: TWOPAIR, hand: 2QKQ2, bid: 108
hand 564: type: TWOPAIR, hand: 922QQ, bid: 324
hand 565: type: TWOPAIR, hand: Q44QT, bid: 102
hand 566: type: TWOPAIR, hand: T5TJJ, bid: 944
hand 567: type: TWOPAIR, hand: K6AKA, bid: 712
hand 568: type: TWOPAIR, hand: 99525, bid: 779
hand 569: type: TWOPAIR, hand: Q9AAQ, bid: 617
hand 570: type: TWOPAIR, hand: K989K, bid: 345
hand 571: type: TWOPAIR, hand: 63Q63, bid: 909
hand 572: type: TWOPAIR, hand: A5AK5, bid: 539
hand 573: type: TWOPAIR, hand: K8228, bid: 449
hand 574: type: TWOPAIR, hand: 44QTT, bid: 73
hand 575: type: TWOPAIR, hand: 89595, bid: 334
hand 576: type: TWOPAIR, hand: 2J233, bid: 430
hand 577: type: TWOPAIR, hand: 7A75A, bid: 192
hand 578: type: TWOPAIR, hand: J55AJ, bid: 363
hand 579: type: TWOPAIR, hand: A2A72, bid: 951
hand 580: type: TWOPAIR, hand: T2Q2Q, bid: 153
hand 581: type: TWOPAIR, hand: A5ATT, bid: 670
hand 582: type: TWOPAIR, hand: 27267, bid: 644
hand 583: type: TWOPAIR, hand: 8778A, bid: 280
hand 584: type: TWOPAIR, hand: 65K5K, bid: 734
hand 585: type: TWOPAIR, hand: 99833, bid: 881
hand 586: type: TWOPAIR, hand: TAT66, bid: 251
hand 587: type: TWOPAIR, hand: A84A8, bid: 610
hand 588: type: TWOPAIR, hand: 77646, bid: 155
hand 589: type: TWOPAIR, hand: 32237, bid: 164
hand 590: type: TWOPAIR, hand: 86T68, bid: 77
hand 591: type: TWOPAIR, hand: 28682, bid: 332
hand 592: type: TWOPAIR, hand: 22344, bid: 201
hand 593: type: TWOPAIR, hand: AAT9T, bid: 809
hand 594: type: TWOPAIR, hand: TJKKJ, bid: 579
hand 595: type: TWOPAIR, hand: 899QQ, bid: 531
hand 596: type: TWOPAIR, hand: A8ATT, bid: 514
hand 597: type: TWOPAIR, hand: K4A4A, bid: 958
hand 598: type: TWOPAIR, hand: KKTT7, bid: 758
hand 599: type: TWOPAIR, hand: 44229, bid: 848
hand 600: type: TWOPAIR, hand: 5TT99, bid: 337
hand 601: type: TWOPAIR, hand: QQ969, bid: 93
hand 602: type: TWOPAIR, hand: 44J77, bid: 38
hand 603: type: TWOPAIR, hand: 5QQ88, bid: 956
hand 604: type: TWOPAIR, hand: JQKQJ, bid: 976
hand 605: type: TWOPAIR, hand: Q3A3Q, bid: 373
hand 606: type: TWOPAIR, hand: 588A5, bid: 483
hand 607: type: TWOPAIR, hand: Q4K4K, bid: 826
hand 608: type: TWOPAIR, hand: 4AAQ4, bid: 532
hand 609: type: TWOPAIR, hand: Q355Q, bid: 69
hand 610: type: TWOPAIR, hand: Q5QT5, bid: 169
hand 611: type: TWOPAIR, hand: Q3QAA, bid: 999
hand 612: type: TWOPAIR, hand: 98944, bid: 375
hand 613: type: TWOPAIR, hand: 22838, bid: 638
hand 614: type: TWOPAIR, hand: Q6565, bid: 943
hand 615: type: TWOPAIR, hand: 2J5J2, bid: 964
hand 616: type: TWOPAIR, hand: 48334, bid: 748
hand 617: type: TWOPAIR, hand: AAJQQ, bid: 666
hand 618: type: TWOPAIR, hand: 7KK55, bid: 582
hand 619: type: TWOPAIR, hand: 97397, bid: 121
hand 620: type: TWOPAIR, hand: 67A7A, bid: 978
hand 621: type: TWOPAIR, hand: 57JJ7, bid: 721
hand 622: type: TWOPAIR, hand: 955A9, bid: 851
hand 623: type: TWOPAIR, hand: 96659, bid: 162
hand 624: type: TWOPAIR, hand: 99KTT, bid: 736
hand 625: type: TWOPAIR, hand: Q3QT3, bid: 11
hand 626: type: TWOPAIR, hand: A833A, bid: 309
hand 627: type: THREEOFAKIND, hand: 94445, bid: 776
hand 628: type: THREEOFAKIND, hand: 525J5, bid: 499
hand 629: type: THREEOFAKIND, hand: 23242, bid: 751
hand 630: type: THREEOFAKIND, hand: 8A883, bid: 764
hand 631: type: THREEOFAKIND, hand: 92888, bid: 296
hand 632: type: THREEOFAKIND, hand: 6T4TT, bid: 818
hand 633: type: THREEOFAKIND, hand: 555K9, bid: 477
hand 634: type: THREEOFAKIND, hand: T777K, bid: 921
hand 635: type: THREEOFAKIND, hand: 29998, bid: 197
hand 636: type: THREEOFAKIND, hand: JATTT, bid: 391
hand 637: type: THREEOFAKIND, hand: 5655J, bid: 584
hand 638: type: THREEOFAKIND, hand: J888A, bid: 89
hand 639: type: THREEOFAKIND, hand: 922A2, bid: 442
hand 640: type: THREEOFAKIND, hand: ATAA8, bid: 120
hand 641: type: THREEOFAKIND, hand: 8J828, bid: 973
hand 642: type: THREEOFAKIND, hand: K7K4K, bid: 961
hand 643: type: THREEOFAKIND, hand: AAA26, bid: 598
hand 644: type: THREEOFAKIND, hand: 2A2J2, bid: 314
hand 645: type: THREEOFAKIND, hand: A66J6, bid: 213
hand 646: type: THREEOFAKIND, hand: 939J9, bid: 570
hand 647: type: THREEOFAKIND, hand: AQQQ4, bid: 766
hand 648: type: THREEOFAKIND, hand: 8555J, bid: 241
hand 649: type: THREEOFAKIND, hand: T555Q, bid: 558
hand 650: type: THREEOFAKIND, hand: J6676, bid: 289
hand 651: type: THREEOFAKIND, hand: 3383J, bid: 726
hand 652: type: THREEOFAKIND, hand: Q7QQJ, bid: 23
hand 653: type: THREEOFAKIND, hand: 99925, bid: 691
hand 654: type: THREEOFAKIND, hand: KTKK5, bid: 140
hand 655: type: THREEOFAKIND, hand: AAA5K, bid: 466
hand 656: type: THREEOFAKIND, hand: 67366, bid: 327
hand 657: type: THREEOFAKIND, hand: 75477, bid: 94
hand 658: type: THREEOFAKIND, hand: 9Q969, bid: 202
hand 659: type: THREEOFAKIND, hand: K333Q, bid: 681
hand 660: type: THREEOFAKIND, hand: 54J55, bid: 500
hand 661: type: THREEOFAKIND, hand: 47377, bid: 200
hand 662: type: THREEOFAKIND, hand: K9599, bid: 174
hand 663: type: THREEOFAKIND, hand: 7T775, bid: 680
hand 664: type: THREEOFAKIND, hand: JQQQT, bid: 965
hand 665: type: THREEOFAKIND, hand: 333K8, bid: 199
hand 666: type: THREEOFAKIND, hand: KK6KA, bid: 568
hand 667: type: THREEOFAKIND, hand: 6KKKJ, bid: 60
hand 668: type: THREEOFAKIND, hand: A4ATA, bid: 971
hand 669: type: THREEOFAKIND, hand: 7A727, bid: 821
hand 670: type: THREEOFAKIND, hand: 25J22, bid: 233
hand 671: type: THREEOFAKIND, hand: 88578, bid: 840
hand 672: type: THREEOFAKIND, hand: Q7555, bid: 899
hand 673: type: THREEOFAKIND, hand: 44K4J, bid: 357
hand 674: type: THREEOFAKIND, hand: QQQ72, bid: 165
hand 675: type: THREEOFAKIND, hand: 39233, bid: 242
hand 676: type: THREEOFAKIND, hand: 44JQ4, bid: 72
hand 677: type: THREEOFAKIND, hand: 63833, bid: 470
hand 678: type: THREEOFAKIND, hand: Q9QAQ, bid: 491
hand 679: type: THREEOFAKIND, hand: 77KJ7, bid: 425
hand 680: type: THREEOFAKIND, hand: TTTK3, bid: 90
hand 681: type: THREEOFAKIND, hand: TTT75, bid: 443
hand 682: type: THREEOFAKIND, hand: T2666, bid: 530
hand 683: type: THREEOFAKIND, hand: QQ64Q, bid: 40
hand 684: type: THREEOFAKIND, hand: 9799J, bid: 705
hand 685: type: THREEOFAKIND, hand: T96TT, bid: 725
hand 686: type: THREEOFAKIND, hand: 8JAAA, bid: 626
hand 687: type: THREEOFAKIND, hand: A333J, bid: 463
hand 688: type: THREEOFAKIND, hand: KKK6T, bid: 682
hand 689: type: THREEOFAKIND, hand: 82885, bid: 820
hand 690: type: THREEOFAKIND, hand: 883J8, bid: 940
hand 691: type: THREEOFAKIND, hand: T3343, bid: 918
hand 692: type: THREEOFAKIND, hand: 59A55, bid: 103
hand 693: type: THREEOFAKIND, hand: 3339K, bid: 490
hand 694: type: THREEOFAKIND, hand: J3353, bid: 178
hand 695: type: THREEOFAKIND, hand: 4T777, bid: 592
hand 696: type: THREEOFAKIND, hand: T9299, bid: 914
hand 697: type: THREEOFAKIND, hand: 7877J, bid: 469
hand 698: type: THREEOFAKIND, hand: 8J88Q, bid: 498
hand 699: type: THREEOFAKIND, hand: 55T56, bid: 235
hand 700: type: THREEOFAKIND, hand: 9AJAA, bid: 88
hand 701: type: THREEOFAKIND, hand: 6QAQQ, bid: 794
hand 702: type: THREEOFAKIND, hand: J7Q77, bid: 260
hand 703: type: THREEOFAKIND, hand: 89979, bid: 842
hand 704: type: THREEOFAKIND, hand: 92399, bid: 381
hand 705: type: THREEOFAKIND, hand: J6T66, bid: 364
hand 706: type: THREEOFAKIND, hand: T5575, bid: 541
hand 707: type: THREEOFAKIND, hand: TJTT8, bid: 58
hand 708: type: THREEOFAKIND, hand: 55JK5, bid: 150
hand 709: type: THREEOFAKIND, hand: KKJKT, bid: 339
hand 710: type: THREEOFAKIND, hand: A444J, bid: 950
hand 711: type: THREEOFAKIND, hand: 366J6, bid: 1000
hand 712: type: THREEOFAKIND, hand: Q3343, bid: 99
hand 713: type: THREEOFAKIND, hand: 7377J, bid: 856
hand 714: type: THREEOFAKIND, hand: Q2922, bid: 773
hand 715: type: THREEOFAKIND, hand: 36566, bid: 774
hand 716: type: THREEOFAKIND, hand: 8QQQ3, bid: 508
hand 717: type: THREEOFAKIND, hand: 9J994, bid: 883
hand 718: type: THREEOFAKIND, hand: 66968, bid: 757
hand 719: type: THREEOFAKIND, hand: 83335, bid: 690
hand 720: type: THREEOFAKIND, hand: QTQ6Q, bid: 204
hand 721: type: THREEOFAKIND, hand: 2K272, bid: 717
hand 722: type: THREEOFAKIND, hand: 22K2A, bid: 426
hand 723: type: THREEOFAKIND, hand: 7T772, bid: 657
hand 724: type: THREEOFAKIND, hand: 7Q773, bid: 673
hand 725: type: THREEOFAKIND, hand: 2J822, bid: 663
hand 726: type: THREEOFAKIND, hand: 96333, bid: 915
hand 727: type: THREEOFAKIND, hand: 53755, bid: 982
hand 728: type: THREEOFAKIND, hand: 64766, bid: 837
hand 729: type: THREEOFAKIND, hand: JAA7A, bid: 528
hand 730: type: THREEOFAKIND, hand: JKJJ7, bid: 636
hand 731: type: THREEOFAKIND, hand: 7TJTT, bid: 207
hand 732: type: THREEOFAKIND, hand: 94998, bid: 33
hand 733: type: THREEOFAKIND, hand: JQKQQ, bid: 299
hand 734: type: THREEOFAKIND, hand: AA48A, bid: 56
hand 735: type: THREEOFAKIND, hand: 677A7, bid: 35
hand 736: type: THREEOFAKIND, hand: KKQK5, bid: 599
hand 737: type: THREEOFAKIND, hand: 2999K, bid: 484
hand 738: type: THREEOFAKIND, hand: T25TT, bid: 461
hand 739: type: THREEOFAKIND, hand: QT888, bid: 501
hand 740: type: THREEOFAKIND, hand: 44Q34, bid: 957
hand 741: type: THREEOFAKIND, hand: 737T7, bid: 458
hand 742: type: THREEOFAKIND, hand: K2229, bid: 285
hand 743: type: THREEOFAKIND, hand: 34744, bid: 931
hand 744: type: THREEOFAKIND, hand: 8988K, bid: 696
hand 745: type: THREEOFAKIND, hand: 666J9, bid: 298
hand 746: type: THREEOFAKIND, hand: 2T522, bid: 563
hand 747: type: THREEOFAKIND, hand: 9J969, bid: 529
hand 748: type: THREEOFAKIND, hand: J444T, bid: 401
hand 749: type: THREEOFAKIND, hand: JJ56J, bid: 948
hand 750: type: THREEOFAKIND, hand: 599J9, bid: 998
hand 751: type: THREEOFAKIND, hand: TTQJT, bid: 515
hand 752: type: THREEOFAKIND, hand: 5KK7K, bid: 116
hand 753: type: THREEOFAKIND, hand: 94T44, bid: 805
hand 754: type: THREEOFAKIND, hand: K8884, bid: 34
hand 755: type: THREEOFAKIND, hand: T5J55, bid: 49
hand 756: type: THREEOFAKIND, hand: 322T2, bid: 340
hand 757: type: THREEOFAKIND, hand: KKJK2, bid: 64
hand 758: type: THREEOFAKIND, hand: 93599, bid: 703
hand 759: type: THREEOFAKIND, hand: A2AQA, bid: 267
hand 760: type: THREEOFAKIND, hand: T6668, bid: 445
hand 761: type: THREEOFAKIND, hand: AJQQQ, bid: 533
hand 762: type: THREEOFAKIND, hand: KJQKK, bid: 57
hand 763: type: THREEOFAKIND, hand: 444A6, bid: 813
hand 764: type: THREEOFAKIND, hand: J2227, bid: 863
hand 765: type: THREEOFAKIND, hand: 39T33, bid: 744
hand 766: type: THREEOFAKIND, hand: 38666, bid: 867
hand 767: type: THREEOFAKIND, hand: 3JJ7J, bid: 984
hand 768: type: THREEOFAKIND, hand: 88482, bid: 877
hand 769: type: THREEOFAKIND, hand: 445T4, bid: 865
hand 770: type: THREEOFAKIND, hand: TKQQQ, bid: 716
hand 771: type: THREEOFAKIND, hand: A99J9, bid: 771
hand 772: type: THREEOFAKIND, hand: 99T89, bid: 176
hand 773: type: THREEOFAKIND, hand: 2QQQ8, bid: 548
hand 774: type: THREEOFAKIND, hand: Q5Q3Q, bid: 264
hand 775: type: THREEOFAKIND, hand: K7JKK, bid: 262
hand 776: type: THREEOFAKIND, hand: A2AA5, bid: 549
hand 777: type: THREEOFAKIND, hand: 7QQQ3, bid: 149
hand 778: type: THREEOFAKIND, hand: 2Q22J, bid: 542
hand 779: type: THREEOFAKIND, hand: KK3KA, bid: 620
hand 780: type: THREEOFAKIND, hand: 72757, bid: 471
hand 781: type: THREEOFAKIND, hand: Q33J3, bid: 205
hand 782: type: THREEOFAKIND, hand: KTTQT, bid: 949
hand 783: type: THREEOFAKIND, hand: A3QQQ, bid: 885
hand 784: type: THREEOFAKIND, hand: A28AA, bid: 137
hand 785: type: THREEOFAKIND, hand: 26223, bid: 677
hand 786: type: THREEOFAKIND, hand: 3A2AA, bid: 170
hand 787: type: THREEOFAKIND, hand: TJ888, bid: 525
hand 788: type: THREEOFAKIND, hand: TT97T, bid: 32
hand 789: type: THREEOFAKIND, hand: TTT4J, bid: 389
hand 790: type: THREEOFAKIND, hand: Q5553, bid: 564
hand 791: type: THREEOFAKIND, hand: 333J9, bid: 871
hand 792: type: THREEOFAKIND, hand: 24484, bid: 278
hand 793: type: THREEOFAKIND, hand: 86999, bid: 545
hand 794: type: THREEOFAKIND, hand: 6966A, bid: 699
hand 795: type: THREEOFAKIND, hand: QAKAA, bid: 228
hand 796: type: FULLHOUSE, hand: 6J66J, bid: 114
hand 797: type: FULLHOUSE, hand: 33939, bid: 822
hand 798: type: FULLHOUSE, hand: J3JJ3, bid: 66
hand 799: type: FULLHOUSE, hand: 24244, bid: 992
hand 800: type: FULLHOUSE, hand: QQ33Q, bid: 778
hand 801: type: FULLHOUSE, hand: K33K3, bid: 387
hand 802: type: FULLHOUSE, hand: 4J44J, bid: 245
hand 803: type: FULLHOUSE, hand: AA22A, bid: 955
hand 804: type: FULLHOUSE, hand: 36663, bid: 815
hand 805: type: FULLHOUSE, hand: 65556, bid: 835
hand 806: type: FULLHOUSE, hand: T666T, bid: 52
hand 807: type: FULLHOUSE, hand: 89998, bid: 321
hand 808: type: FULLHOUSE, hand: 6TTT6, bid: 642
hand 809: type: FULLHOUSE, hand: 98889, bid: 834
hand 810: type: FULLHOUSE, hand: 88T8T, bid: 679
hand 811: type: FULLHOUSE, hand: AATTA, bid: 28
hand 812: type: FULLHOUSE, hand: J6JJ6, bid: 247
hand 813: type: FULLHOUSE, hand: JAJAA, bid: 407
hand 814: type: FULLHOUSE, hand: KKK22, bid: 432
hand 815: type: FULLHOUSE, hand: 34433, bid: 39
hand 816: type: FULLHOUSE, hand: 44433, bid: 922
hand 817: type: FULLHOUSE, hand: 45544, bid: 282
hand 818: type: FULLHOUSE, hand: 44477, bid: 559
hand 819: type: FULLHOUSE, hand: 55353, bid: 981
hand 820: type: FULLHOUSE, hand: JJKKK, bid: 937
hand 821: type: FULLHOUSE, hand: 9A99A, bid: 720
hand 822: type: FULLHOUSE, hand: J777J, bid: 67
hand 823: type: FULLHOUSE, hand: 5Q5QQ, bid: 858
hand 824: type: FULLHOUSE, hand: 88J8J, bid: 297
hand 825: type: FULLHOUSE, hand: 95595, bid: 333
hand 826: type: FULLHOUSE, hand: 55577, bid: 182
hand 827: type: FULLHOUSE, hand: 76767, bid: 173
hand 828: type: FULLHOUSE, hand: A6A66, bid: 569
hand 829: type: FULLHOUSE, hand: KK66K, bid: 189
hand 830: type: FULLHOUSE, hand: 333JJ, bid: 997
hand 831: type: FULLHOUSE, hand: AA33A, bid: 195
hand 832: type: FULLHOUSE, hand: 8Q8Q8, bid: 243
hand 833: type: FULLHOUSE, hand: 2A2A2, bid: 171
hand 834: type: FULLHOUSE, hand: 4AA4A, bid: 578
hand 835: type: FULLHOUSE, hand: 5AA55, bid: 312
hand 836: type: FULLHOUSE, hand: 44888, bid: 898
hand 837: type: FULLHOUSE, hand: 75577, bid: 488
hand 838: type: FULLHOUSE, hand: TQQTT, bid: 518
hand 839: type: FULLHOUSE, hand: 5J5J5, bid: 785
hand 840: type: FULLHOUSE, hand: QQ22Q, bid: 91
hand 841: type: FULLHOUSE, hand: 33636, bid: 310
hand 842: type: FULLHOUSE, hand: 25522, bid: 770
hand 843: type: FULLHOUSE, hand: 74774, bid: 79
hand 844: type: FULLHOUSE, hand: 64466, bid: 942
hand 845: type: FULLHOUSE, hand: 29922, bid: 412
hand 846: type: FULLHOUSE, hand: 39399, bid: 928
hand 847: type: FULLHOUSE, hand: J77JJ, bid: 30
hand 848: type: FULLHOUSE, hand: 999KK, bid: 413
hand 849: type: FULLHOUSE, hand: 22T2T, bid: 97
hand 850: type: FULLHOUSE, hand: T4T4T, bid: 507
hand 851: type: FULLHOUSE, hand: 54554, bid: 440
hand 852: type: FULLHOUSE, hand: A6A6A, bid: 125
hand 853: type: FULLHOUSE, hand: T77T7, bid: 55
hand 854: type: FULLHOUSE, hand: KKKAA, bid: 473
hand 855: type: FULLHOUSE, hand: A9AA9, bid: 676
hand 856: type: FULLHOUSE, hand: 5T5TT, bid: 979
hand 857: type: FULLHOUSE, hand: 9J99J, bid: 303
hand 858: type: FULLHOUSE, hand: 4A44A, bid: 685
hand 859: type: FULLHOUSE, hand: 2JJ22, bid: 932
hand 860: type: FULLHOUSE, hand: 77979, bid: 524
hand 861: type: FULLHOUSE, hand: 28282, bid: 31
hand 862: type: FULLHOUSE, hand: 35353, bid: 618
hand 863: type: FULLHOUSE, hand: 4Q4Q4, bid: 126
hand 864: type: FULLHOUSE, hand: 62622, bid: 784
hand 865: type: FULLHOUSE, hand: TJTTJ, bid: 609
hand 866: type: FULLHOUSE, hand: A8A8A, bid: 342
hand 867: type: FULLHOUSE, hand: 333AA, bid: 167
hand 868: type: FULLHOUSE, hand: 88QQQ, bid: 866
hand 869: type: FULLHOUSE, hand: QTQQT, bid: 930
hand 870: type: FULLHOUSE, hand: KKK55, bid: 665
hand 871: type: FULLHOUSE, hand: 72727, bid: 538
hand 872: type: FULLHOUSE, hand: 86688, bid: 623
hand 873: type: FULLHOUSE, hand: 88877, bid: 322
hand 874: type: FULLHOUSE, hand: 87778, bid: 695
hand 875: type: FULLHOUSE, hand: 33Q3Q, bid: 641
hand 876: type: FULLHOUSE, hand: K8K8K, bid: 61
hand 877: type: FULLHOUSE, hand: 555TT, bid: 968
hand 878: type: FULLHOUSE, hand: 44994, bid: 567
hand 879: type: FULLHOUSE, hand: 66226, bid: 543
hand 880: type: FULLHOUSE, hand: 66996, bid: 13
hand 881: type: FULLHOUSE, hand: QQ4Q4, bid: 857
hand 882: type: FULLHOUSE, hand: 88A8A, bid: 629
hand 883: type: FULLHOUSE, hand: 4K44K, bid: 424
hand 884: type: FULLHOUSE, hand: KKTTT, bid: 832
hand 885: type: FULLHOUSE, hand: KTKTK, bid: 810
hand 886: type: FULLHOUSE, hand: 7QQ77, bid: 177
hand 887: type: FULLHOUSE, hand: 99669, bid: 336
hand 888: type: FULLHOUSE, hand: 77AAA, bid: 969
hand 889: type: FULLHOUSE, hand: K22K2, bid: 318
hand 890: type: FULLHOUSE, hand: 99229, bid: 395
hand 891: type: FULLHOUSE, hand: 46446, bid: 802
hand 892: type: FULLHOUSE, hand: 6KK66, bid: 362
hand 893: type: FULLHOUSE, hand: 58858, bid: 555
hand 894: type: FULLHOUSE, hand: T44T4, bid: 557
hand 895: type: FULLHOUSE, hand: 33888, bid: 311
hand 896: type: FULLHOUSE, hand: 33TTT, bid: 353
hand 897: type: FULLHOUSE, hand: TT9T9, bid: 196
hand 898: type: FULLHOUSE, hand: T9T99, bid: 684
hand 899: type: FULLHOUSE, hand: AATTT, bid: 603
hand 900: type: FULLHOUSE, hand: QQJQJ, bid: 131
hand 901: type: FULLHOUSE, hand: KQKQK, bid: 845
hand 902: type: FULLHOUSE, hand: JAJAJ, bid: 562
hand 903: type: FULLHOUSE, hand: 55KK5, bid: 590
hand 904: type: FOUROFAKIND, hand: KKKK6, bid: 574
hand 905: type: FOUROFAKIND, hand: 77747, bid: 553
hand 906: type: FOUROFAKIND, hand: 9999T, bid: 761
hand 907: type: FOUROFAKIND, hand: 888A8, bid: 933
hand 908: type: FOUROFAKIND, hand: 22A22, bid: 416
hand 909: type: FOUROFAKIND, hand: 22223, bid: 227
hand 910: type: FOUROFAKIND, hand: 99929, bid: 864
hand 911: type: FOUROFAKIND, hand: 33733, bid: 313
hand 912: type: FOUROFAKIND, hand: 33334, bid: 351
hand 913: type: FOUROFAKIND, hand: 5T555, bid: 512
hand 914: type: FOUROFAKIND, hand: 99399, bid: 790
hand 915: type: FOUROFAKIND, hand: 46666, bid: 276
hand 916: type: FOUROFAKIND, hand: 75555, bid: 613
hand 917: type: FOUROFAKIND, hand: 79777, bid: 122
hand 918: type: FOUROFAKIND, hand: J2222, bid: 187
hand 919: type: FOUROFAKIND, hand: JTTTT, bid: 305
hand 920: type: FOUROFAKIND, hand: 333J3, bid: 672
hand 921: type: FOUROFAKIND, hand: 4KKKK, bid: 144
hand 922: type: FOUROFAKIND, hand: QQ3QQ, bid: 117
hand 923: type: FOUROFAKIND, hand: 55545, bid: 143
hand 924: type: FOUROFAKIND, hand: 55565, bid: 283
hand 925: type: FOUROFAKIND, hand: 67666, bid: 51
hand 926: type: FOUROFAKIND, hand: 67777, bid: 437
hand 927: type: FOUROFAKIND, hand: 74444, bid: 683
hand 928: type: FOUROFAKIND, hand: Q9999, bid: 179
